"certificate_number"@;@"inn"@;@"product_name"@;@"tnved_code"@;@"localization_rate"@;@"enkt_code"@;@"manufacture_power_yearly"@;@"unit_type_name"
"608050025001"@;@"300369838"@;@Кардан вали@;@"8483105009"@;@63,12@;@"29.32.30.240-00004"@;@600@;@шт.
"614050010503"@;@"201545289"@;@Yog'och MDF paneli@;@"4418997000"@;@31@;@"16.21.12.120-00001"@;@300@;@кв.метр
"614050010502"@;@"201545289"@;@Eshik nakladkasi MDFdan@;@"4418997000"@;@64@;@"16.21.12.120-00003"@;@5 000@;@метр
"614050010501"@;@"201545289"@;@Devorlar uchun MDF qoplama@;@"4418997000"@;@34@;@"16.21.12.120-00002"@;@300@;@кв.метр
"604050029306"@;@"305577171"@;@Қуйиш учун тайёр бетон (Готовый бетон для заливки)@;@"3824501000"@;@100@;@"23.63.10.000-00001"@;@132 500@;@куб. метр
"604050029305"@;@"305577171"@;@Қуйиш учун тайёр бетон (Готовый бетон для заливки)@;@"3824501000"@;@100@;@"23.63.10.000-00001"@;@132 500@;@куб. метр
"604050029304"@;@"305577171"@;@Қуйиш учун тайёр бетон (Готовый бетон для заливки)@;@"3824501000"@;@100@;@"23.63.10.000-00001"@;@132 500@;@куб. метр
"604050029303"@;@"305577171"@;@Қуйиш учун тайёр бетон (Готовый бетон для заливки)@;@"3824501000"@;@100@;@"23.63.10.000-00001"@;@132 500@;@куб. метр
"604050029302"@;@"305577171"@;@Қуйиш учун тайёр бетон (Готовый бетон для заливки)@;@"3824501000"@;@100@;@"23.63.10.000-00001"@;@132 500@;@куб. метр
"604050029301"@;@"305577171"@;@Қуйиш учун тайёр бетон (Готовый бетон для заливки)@;@"3824501000"@;@100@;@"23.63.10.000-00001"@;@132 500@;@куб. метр
"609050042801"@;@"300933659"@;@Резина регенерат@;@"4003000000"@;@55,4@;@"22.19.10.000-00005"@;@5 000@;@т
"609050043801"@;@"300933659"@;@Резина грануласи, 0,1 дан 1 мм фракцияли@;@"4004000000"@;@100@;@"38.11.54.000-00001"@;@40 000 000@;@кг
"632050010203"@;@"304780508"@;@Смесь асфальтобетонная горячая мелкозернистая плотная@;@"2715000000"@;@100@;@"23.99.13.000-00001"@;@153 600@;@т
"632050010202"@;@"304780508"@;@Смесь асфальтобетонная горячая крупнозернистая высокопористая щебеночная@;@"2715000000"@;@100@;@"23.99.13.000-00001"@;@153 600@;@т
"632050010201"@;@"304780508"@;@Смесь асфальтобетонная горячая мелкозернистая пористая@;@"2715000000"@;@100@;@"23.99.13.000-00001"@;@153 600@;@т
"610050022605"@;@"312206749"@;@Алюмин профилли эшиклар@;@"7610100000"@;@74,6@;@"25.12.10.000-00005"@;@960@;@кв. метр
"610050022604"@;@"312206749"@;@Алюмин профильдан ишланган дераза роми@;@"7610100000"@;@75,86@;@"25.12.10.000-00004"@;@960@;@кв. метр
"610050022603"@;@"312206749"@;@Тайёр алюмин дераза конструкцияси@;@"7610100000"@;@74,56@;@"25.11.23.120-00010"@;@960@;@кв. метр
"632050012901"@;@"203259033"@;@Узел токосъема для электродвигателей@;@"8503009800"@;@57@;@"27.90.32.110-00001"@;@1 000@;@шт
"610050022602"@;@"312206749"@;@Алюминдан ишланган тайёр эшик конструкцияси@;@"7610100000"@;@76,2@;@"25.11.23.120-00006"@;@960@;@кв. метр
