"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"certificates_count"@;@"avg_localization_rate"@;@"market"@;@"iz"@;@"rp"@;@"hhi"@;@"ci"@;@"manufacturers_count"@;@"pr"@;@"capacity_utilization"@;@"mp"@;@"st"@;@"iri"
"0"@;@@;@@;@5 334 114 163@;@890 584 574@;@5 251 564 288@;@91 810 011@;@@;@@;@5 251 564 288@;@@;@-1,57@;@@;@0@;@5 999@;@10@;@598,95@;@-498,95@;@50@;@-46,714
"1006201100"@;@@;@@;@7 238 826@;@8 763 260@;@6 833 861@;@867 984@;@1@;@100@;@6 833 861@;@@;@-5,93@;@@;@0@;@57@;@10@;@82,6@;@17,4@;@0@;@1,514
"1006201300"@;@6 556@;@6 702@;@675 895@;@679 588@;@619 934@;@86 325@;@@;@@;@596 126@;@0,96@;@-13,38@;@10 000@;@100@;@6@;@70@;@99,46@;@0,54@;@50@;@22,308
"1006201700"@;@@;@@;@33 219@;@33 219@;@33 219@;@@;@@;@@;@33 219@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,5
"1006209200"@;@55@;@@;@165 903@;@165 903@;@16 364@;@149 538@;@@;@@;@16 420@;@0,03@;@-910,37@;@10 000@;@100@;@2@;@100@;@100@;@0@;@50@;@-154,562
"1006209400"@;@470 992@;@@;@49 304@;@58 922@;@49 304@;@@;@@;@@;@520 296@;@90,52@;@90,52@;@6 715,3698@;@67,15@;@3@;@100@;@83,68@;@16,32@;@50@;@78,512
"1006209600"@;@1 713@;@@;@115 796@;@115 796@;@115 796@;@@;@@;@@;@117 509@;@1,46@;@1,46@;@8 849,1538@;@88,49@;@1@;@100@;@100@;@0@;@50@;@26,676
"1006209800"@;@@;@@;@21 314@;@21 314@;@21 314@;@@;@@;@@;@21 314@;@@;@0@;@@;@0@;@2@;@100@;@100@;@0@;@50@;@12,5
"1006302100"@;@796 973@;@@;@49 634@;@56 292@;@49 634@;@63@;@2@;@100@;@846 544@;@94,14@;@94,14@;@6 136,6912@;@61,37@;@7@;@70@;@88,17@;@11,83@;@0@;@73,884
"1006302300"@;@@;@@;@12 426@;@13 711@;@12 426@;@@;@@;@@;@12 426@;@@;@0@;@@;@0@;@2@;@100@;@90,63@;@9,37@;@50@;@13,4
"1006400000"@;@19 133@;@10 743@;@7 069@;@7 069@;@@;@7 069@;@1@;@100@;@8 390@;@73,02@;@15,74@;@10 000@;@100@;@1@;@100@;@100@;@0@;@0@;@57,356
"1101001100"@;@@;@@;@147 008 852@;@157 159 037@;@132 149 188@;@16 828 421@;@@;@@;@132 149 188@;@@;@-11,24@;@@;@0@;@62@;@10@;@93,54@;@6,46@;@50@;@1,852
"1101001101"@;@239 240@;@@;@685 960@;@685 960@;@685 960@;@@;@@;@@;@925 200@;@25,86@;@25,86@;@10 000@;@100@;@1@;@100@;@100@;@0@;@50@;@43,016
"1101001109"@;@817 479@;@@;@11 456 915@;@20 391 522@;@5 048 714@;@6 408 202@;@@;@@;@5 866 192@;@6,66@;@-95,3@;@7 187,0438@;@71,87@;@6@;@70@;@56,18@;@43,82@;@50@;@8,304
"1101001500"@;@@;@@;@744 016 238@;@1 122 787 817@;@632 180 297@;@139 460 840@;@@;@@;@632 180 297@;@@;@-17,69@;@@;@0@;@176@;@10@;@66,27@;@33,73@;@50@;@3,362
"1101001501"@;@121 816 854@;@17 078 159@;@6 665 579@;@17 722 344@;@4 359 931@;@1 390 272@;@@;@@;@110 014 002@;@94,81@;@93,94@;@9 870,6596@;@98,71@;@4@;@70@;@37,61@;@62,39@;@50@;@87,212
"1101001509"@;@29 412 303@;@311 452 005@;@9 075 380@;@11 982 475@;@9 028 877@;@432 995@;@5@;@93,79@;@38 054 688@;@76,42@;@76,15@;@4 714,2889@;@47,14@;@8@;@70@;@75,74@;@24,26@;@0@;@62,298
"1101009000"@;@38 510@;@@;@27 797 201@;@27 803 394@;@23 831 806@;@4 146 298@;@@;@@;@23 689 413@;@0,14@;@-17,34@;@7 078,8352@;@70,79@;@10@;@70@;@99,98@;@0,02@;@50@;@16,688
"1102201000"@;@4 903@;@@;@12 537@;@13 679@;@12 537@;@@;@@;@@;@17 440@;@28,11@;@28,11@;@10 000@;@100@;@2@;@100@;@91,65@;@8,35@;@50@;@45,166
"1102209000"@;@19 526@;@@;@15 205@;@29 284@;@15 205@;@@;@@;@@;@34 731@;@56,22@;@56,22@;@6 296,5086@;@62,97@;@1@;@100@;@51,92@;@48,08@;@50@;@60,432
"1102901000"@;@@;@@;@1 294 077@;@1 294 077@;@1 294 077@;@107 659@;@@;@@;@1 294 077@;@@;@0@;@@;@0@;@4@;@70@;@100@;@0@;@50@;@9,5
"1102905000"@;@48 841@;@@;@15 587@;@23 839@;@15 587@;@@;@@;@@;@64 428@;@75,81@;@75,81@;@9 261,4425@;@92,61@;@1@;@100@;@65,38@;@34,62@;@50@;@75,386
