"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"306276198"@;@ИП ООО Alicorn@;@"1726"@;@
"205068095"@;@"""FIDOIY QURUVCHI"" MCHJ"@;@"1703"@;@"1703224"
"310055701"@;@"""ANGREN GOFROKARTON FABRIKASI"" MCHJ XK"@;@"1727"@;@"1727407"
"310215192"@;@"""THE STONE HUB"" MCHJ XK"@;@"1712"@;@"1712412"
"304288327"@;@AVRORA TEXTILE BUSINESS MCHJ@;@"1726"@;@"1726280"
"303289413"@;@"""MILKOLINO PRODUCTS"" MCHJ"@;@"1727"@;@"1727248"
"307558329"@;@"ООО ""MED PRO RADIOLOGY"""@;@"1703"@;@
"311315297"@;@ООО ?GOLDEN  711?@;@"1703"@;@
"306738064"@;@MILLIONER EDU CONSULTING MCHJ@;@"1714"@;@
"306072817"@;@"""CHEMICAL INDUSTRY"" MCHJ"@;@"1712"@;@"1712401"
"308550964"@;@"""Bekabad Shahzodbek Trade"" LLC"@;@"1727"@;@
"306225695"@;@"""ALCO GLOBAL COMPANY"" MCHJ"@;@"1726"@;@"1726280"
"300084196"@;@"""FORTUNA GOLD INVEST LTD"" MCHJ"@;@"1718"@;@"1718233"
"303329053"@;@"""OPTIMAL OIL TRADE"" MCHJ"@;@"1730"@;@"1730401"
"301803004"@;@"""UZGERMED PHARM"" MCHJ"@;@"1727"@;@"1727239"
"304876892"@;@"""GLOBAL CARPETING PRODUCTION"" MCHJ XK"@;@"1726"@;@"1726269"
"309926485"@;@"""KVANT ENTREPRENEURS GROUP"" MCHJ"@;@"1726"@;@
"308514398"@;@"ООО ""MAXIMIZER"""@;@"1718"@;@
"303911969"@;@"""EVERGREEN TEXTILE"" MCHJ"@;@"1726"@;@"1726280"
"305383944"@;@"""PAHTAMASH"" MCHJ"@;@"1726"@;@"1726264"
"303823469"@;@"OOO ""SRU-LOGISTICS CENTER"""@;@"1712"@;@
"305852867"@;@"""OLTIN TEGIRMON GROUP"" MCHJ"@;@"1727"@;@"1727407"
"302994993"@;@"ООО ""BENAZIR-PEERPLESS"""@;@"1730"@;@
"311746964"@;@MALIBU-711 MCHJ@;@"1703"@;@
"309833278"@;@"OOO ""NEW EFFECTIVE  WAY"""@;@"1726"@;@
"308765015"@;@"""DREAM SILK"" MCHJ"@;@"1714"@;@"1714401"
"306253614"@;@"""DOSSO GROUP"" MCHJ"@;@"1714"@;@"1714212"
"302755063"@;@"""SHABNAM ELEGANT"" MCHJ"@;@"1727"@;@"1727249"
"309351206"@;@VERTUMTEX MCHJ@;@"1703"@;@"1703206"
"309667072"@;@"""TEXNOLOGY ARSENAL"" mas`uliyati cheklangan jamiyati"@;@"1718"@;@
"305677292"@;@"""YASNUR  TEX"" XK"@;@"1730"@;@"1730206"
"302816026"@;@"""BRICKS ANGREN"" MCHJ"@;@"1727"@;@"1727407"
"306143158"@;@"""FERULA IMPEXS"" ООО"@;@"1718"@;@
"311239201"@;@ООО ?FORZA TEKS?@;@"1714"@;@
"309764395"@;@"""MEGAPROTECT"" MCHJ"@;@"1708"@;@"1708212"
"306285069"@;@"""FARG‘ONA YOG‘ ZAVODI"" MCHJ"@;@"1730"@;@"1730227"
"309556242"@;@"""A IBRO EUROPLAST"" MCHJ QK"@;@"1703"@;@"1703230"
