"tnved_code"@;@"imp_usd"@;@"exp_usd"@;@"manufacture_usd"@;@"power_usd"@;@"sold_usd"@;@"left_usd"@;@"market_by_tnved"@;@"fm"@;@"pl_2"@;@"coef_gotovnosti"@;@"pl_3"@;@"ilp"
"8452109000"@;@5 437@;@@;@901 667@;@902 412@;@901 464@;@12 125@;@894 979@;@745@;@745@;@0,3@;@223,5@;@0,1
"6204291100"@;@@;@39 130@;@122 239@;@216 076@;@114 696@;@8 276@;@113 963@;@93 837@;@@;@0,6@;@@;@
"8425110000"@;@3 207 373@;@97 801@;@187 727@;@187 727@;@187 407@;@@;@3 297 299@;@0@;@0@;@1@;@0@;@0,69
"5801360000"@;@870 699@;@@;@2 793@;@2 793@;@2 793@;@@;@873 492@;@0@;@0@;@0,3@;@0@;@0,56
"3809930000"@;@1 457 811@;@150 438@;@@;@@;@@;@@;@1 457 811@;@@;@@;@0,3@;@@;@0,56
"8504403008"@;@33 644 501@;@11 830@;@@;@@;@@;@@;@33 644 501@;@@;@@;@0,3@;@@;@0,56
"9004109900"@;@116 467@;@4 376@;@24 191@;@32 255@;@24 191@;@@;@136 282@;@8 064@;@8 064@;@0,6@;@4 838,4@;@0,57
"8544499500"@;@@;@@;@51 456 265@;@57 012 611@;@50 423 434@;@8 988 674@;@50 423 434@;@5 556 346@;@@;@0,3@;@@;@
"8480710000"@;@35 261 959@;@353 784@;@108 976@;@248 775@;@108 976@;@2 535@;@35 014 616@;@139 799@;@139 799@;@0,6@;@83 879,4@;@0,62
"5007903000"@;@787@;@@;@7 726@;@7 726@;@7 726@;@@;@8 513@;@0@;@0@;@0,3@;@0@;@0,11
"7220908009"@;@290 782@;@@;@@;@@;@@;@@;@290 782@;@@;@@;@0@;@@;@0,5
"3002590000"@;@10 497@;@@;@@;@@;@@;@@;@10 497@;@@;@@;@0@;@@;@0,5
"8477300000"@;@19 404 822@;@2 413 706@;@@;@@;@@;@@;@19 404 822@;@@;@@;@0,3@;@@;@0,56
"7326904000"@;@911 137@;@13 421@;@2 282 000@;@2 297 158@;@2 251 426@;@34 101@;@3 159 036@;@15 158@;@15 158@;@1@;@15 158@;@0,35
"4703290009"@;@19 166 603@;@35 048@;@@;@@;@@;@@;@19 166 603@;@@;@@;@0,3@;@@;@0,56
"8704319200"@;@35 125 847@;@174 197@;@13 426 456@;@14 313 654@;@8 576 899@;@4 918 845@;@43 459 261@;@887 198@;@887 198@;@1@;@887 198@;@0,61
"6904100000"@;@1 782 623@;@8 868 030@;@77 695 556@;@85 991 354@;@60 074 860@;@23 341 627@;@56 136 552@;@8 295 798@;@1 782 623@;@1@;@1 782 623@;@1,61
"6214300000"@;@133 824@;@287 064@;@1 185@;@1 185@;@55@;@2 837@;@132 172@;@0@;@0@;@1@;@0@;@0,71
"5911321900"@;@124 708@;@@;@3 541@;@3 541@;@3 541@;@@;@128 249@;@0@;@0@;@0,3@;@0@;@0,55
"8419200000"@;@7 376 816@;@@;@511 593@;@526 346@;@385 141@;@130 680@;@7 757 729@;@14 753@;@14 753@;@0,7@;@10 327,1@;@0,62
"8525819100"@;@80 619@;@2 583@;@@;@@;@@;@@;@80 619@;@@;@@;@0,3@;@@;@0,56
"2933370000"@;@10 543@;@@;@@;@@;@@;@@;@10 543@;@@;@@;@0@;@@;@0,5
"0307299009"@;@1@;@@;@@;@@;@@;@@;@1@;@@;@@;@0@;@@;@0,5
"4816900000"@;@84 497@;@10@;@55 047@;@@;@55 047@;@@;@139 534@;@@;@@;@0,6@;@@;@0,42
"2005800000"@;@5 144 106@;@7 539 323@;@10 889 430@;@11 892 808@;@8 446 704@;@2 460 455@;@13 573 081@;@1 003 378@;@1 003 378@;@0,6@;@602 026,8@;@0,37
"9613800000"@;@675 858@;@1 247@;@@;@@;@@;@@;@675 858@;@@;@@;@0,3@;@@;@0,56
"2202909500"@;@@;@@;@14 297@;@14 297@;@14 297@;@@;@14 297@;@0@;@@;@0,3@;@@;@
"0305420000"@;@50 195@;@@;@@;@@;@@;@@;@50 195@;@@;@@;@0@;@@;@0,5
"8703221097"@;@@;@@;@@;@@;@@;@@;@0@;@@;@@;@0,4@;@@;@
"3102500000"@;@10 836@;@1 299 566@;@2 619 466@;@2 619 466@;@2 650 709@;@227 397@;@2 402 905@;@0@;@0@;@1@;@0@;@0,2
"2008199201"@;@83 412@;@12 535@;@@;@@;@@;@@;@83 412@;@@;@@;@0,3@;@@;@0,56
"7210128000"@;@@;@@;@453 580@;@453 580@;@453 580@;@@;@453 580@;@0@;@@;@0,3@;@@;@
"7217101000"@;@132 604@;@@;@9 275 404@;@9 338 872@;@7 666 487@;@1 909 958@;@7 498 050@;@63 468@;@63 468@;@0,3@;@19 040,4@;@0,21
"9021500000"@;@868 302@;@@;@@;@@;@@;@@;@868 302@;@@;@@;@0@;@@;@0,5
"8421398002"@;@548 593@;@@;@67 287@;@67 998@;@67 287@;@@;@615 880@;@711@;@711@;@0,3@;@213,3@;@0,51
"8526100009"@;@4 715 206@;@415 324@;@1 597 049@;@3 194 098@;@1 455 992@;@502 527@;@5 394 404@;@1 597 049@;@1 597 049@;@0,6@;@958 229,4@;@0,66
"8537101000"@;@6 455 823@;@16 792@;@9 843 170@;@10 936 007@;@9 882 694@;@389 907@;@15 909 086@;@1 092 837@;@1 092 837@;@1@;@1 092 837@;@0,45
"7306304100"@;@314 866@;@@;@@;@@;@@;@@;@314 866@;@@;@@;@0@;@@;@0,5
"9014202000"@;@22 611@;@4 245@;@@;@@;@@;@@;@22 611@;@@;@@;@0,3@;@@;@0,56
"6211431000"@;@105 778@;@99 097@;@2 305 362@;@@;@2 305 362@;@@;@2 411 140@;@@;@@;@1@;@@;@0,22
"8802120001"@;@24 595 975@;@@;@@;@@;@@;@@;@24 595 975@;@@;@@;@0@;@@;@0,5
"2908190000"@;@21 311@;@@;@@;@@;@@;@@;@21 311@;@@;@@;@0@;@@;@0,5
"4102101000"@;@@;@@;@4 417 450@;@4 662 798@;@1 257 393@;@790 014@;@1 257 393@;@245 348@;@@;@0,3@;@@;@
"303311000"@;@@;@@;@163 251@;@163 251@;@163 251@;@@;@163 251@;@0@;@@;@0,3@;@@;@
"8419500000"@;@13 519 082@;@1 572 983@;@18 684 702@;@20 067 123@;@16 395 992@;@2 327 268@;@29 876 516@;@1 382 421@;@1 382 421@;@1@;@1 382 421@;@0,46
"6204631800"@;@1 121 904@;@358 145@;@206@;@206@;@209@;@62@;@763 903@;@0@;@0@;@0,6@;@0@;@0,85
"8407219900"@;@256 042@;@@;@@;@@;@@;@@;@256 042@;@@;@@;@0@;@@;@0,5
"2009611003"@;@3 100@;@@;@@;@@;@@;@@;@3 100@;@@;@@;@0@;@@;@0,5
"5512299000"@;@15 147@;@@;@@;@@;@@;@@;@15 147@;@@;@@;@0@;@@;@0,5
"8528728000"@;@336 338@;@@;@5 663 068@;@5 663 068@;@5 447 005@;@277 113@;@5 722 293@;@0@;@0@;@0,3@;@0@;@0,09
"7019120000"@;@1 693 829@;@@;@@;@@;@@;@@;@1 693 829@;@@;@@;@0@;@@;@0,5
"8515399000"@;@1 157 551@;@8 011@;@5 301@;@5 301@;@4 090@;@1 212@;@1 153 629@;@0@;@0@;@0,6@;@0@;@0,62
"6104310000"@;@18 976@;@7 345@;@417 167@;@417 167@;@417 167@;@@;@436 143@;@0@;@0@;@0,6@;@0@;@0,14
"6403511500"@;@26 286@;@@;@1 795 164@;@1 971 934@;@1 819 543@;@110 819@;@1 710 631@;@176 770@;@26 286@;@0,3@;@7 885,8@;@2,09
"4823908593"@;@1 099@;@15@;@790@;@@;@790@;@@;@1 874@;@@;@@;@0,6@;@@;@0,41
"8433539000"@;@22 643@;@@;@@;@@;@@;@@;@22 643@;@@;@@;@0@;@@;@0,5
"8462110000"@;@32 057 021@;@@;@241 609@;@241 609@;@241 609@;@@;@32 298 630@;@0@;@0@;@0,3@;@0@;@0,56
"2939790000"@;@59 767@;@@;@@;@@;@@;@@;@59 767@;@@;@@;@0@;@@;@0,5
"3920491009"@;@4 895 427@;@40 740@;@690 926@;@690 926@;@692 438@;@1 309@;@5 544 304@;@0@;@0@;@0,6@;@0@;@0,56
"8417209000"@;@1 725 156@;@1 196@;@77 074@;@77 074@;@77 074@;@@;@1 801 034@;@0@;@0@;@0,6@;@0@;@0,6
"7321111000"@;@2 000 625@;@4 707 582@;@22 140 643@;@22 825 060@;@20 990 762@;@2 616 064@;@21 525 204@;@684 417@;@684 417@;@1@;@684 417@;@0,35
"5209410000"@;@14 345@;@@;@@;@@;@@;@@;@14 345@;@@;@@;@0,4@;@@;@0,58
"2710194230"@;@@;@@;@219 615 200@;@219 615 200@;@222 479 850@;@1 236 757@;@222 479 850@;@0@;@@;@0,3@;@@;@
"8711900000"@;@540@;@@;@2 018 134@;@2 328 616@;@1 476 038@;@1 022 558@;@996 116@;@310 482@;@540@;@0,3@;@162@;@100
