"id"@;@"region_soato"@;@"region_cad"@;@"region_name_uz"@;@"district_soato"@;@"district_cad"@;@"district_name_uz"@;@"area"@;@"region_name_oz"@;@"region_name_ru"@;@"region_name_qq"@;@"district_name_oz"@;@"district_name_ru"@;@"district_name_qq"@;@"district_title_oz"@;@"district_title_uz"@;@"district_title_ru"@;@"district_title_qq"
152@;@1 706@;@"0"@;@Buxoro viloyati@;@1 706 212@;@"20:02:00"@;@Vobkent tumani@;@295,761932@;@Бухоро вилояти@;@Бухарская область@;@Buxara wálayatı @;@Вобкент тумани@;@Вобкентский район@;@vobkent rayonı @;@@;@@;@@;@
199@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 250@;@"23:12:00"@;@Ellikkala tumani@;@5 386,23682@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Элликкала тумани@;@Элликкалинский район@;@Ellikkala rayonı @;@@;@@;@@;@
200@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 218@;@"23:13:00"@;@Qanliko'l tumani@;@764,753479@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Қанликўл тумани@;@Канликульский район@;@Qanlıkól rayonı @;@@;@@;@@;@
201@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 211@;@"23:14:00"@;@Qorauzak tumani@;@5 881,12549@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Қораузак тумани@;@Караузакский район@;@Qorauzak rayonı @;@@;@@;@@;@
202@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 215@;@"23:15:00"@;@Qo'ng'irot tumani@;@75 842,8281@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Қўнғирот тумани@;@Кунгуратский район@;@Qońırat rayonı @;@@;@@;@@;@
203@;@1 735@;@"0"@;@Qoraqalpogiston Respublikasi@;@1 735 401@;@"23:17:00"@;@Nukus@;@212,198334@;@Қорақалпогистон Республикаси@;@Республика Каракалпакстан@;@Qaraqalpaqstan Respublikası @;@Нукус@;@Нукус@;@Nókis@;@@;@@;@@;@
59@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 206@;@"14:01:00"@;@Bulung'ur tumani@;@768,02063@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Булунғур тумани@;@Булунгурский район@;@Bulung'ur rayonı @;@@;@@;@@;@
60@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 209@;@"14:02:00"@;@Jomboy tumani@;@549,020325@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Жомбой тумани@;@Джомбойский район@;@Jomboy rayonı @;@@;@@;@@;@
61@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 212@;@"14:03:00"@;@Ishtixon tumani@;@718,025269@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Иштихон тумани@;@Иштиханский район@;@Ishtixon rayonı @;@@;@@;@@;@
62@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 216@;@"14:04:00"@;@Qo'shrabot tumani@;@2 159,76074@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Қўшработ тумани@;@Кошрабатский район@;@Qosrabot rayonı @;@@;@@;@@;@
63@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 215@;@"14:05:00"@;@Kattaqo'rg'on tumani@;@1 371,93396@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Каттақўрғон тумани@;@Каттакурганский район@;@Úlkenqo'rg'on rayonı @;@@;@@;@@;@
64@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 218@;@"14:06:00"@;@Narpay tumani@;@443,572113@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Нарпай тумани@;@Нарпайский район@;@Narpay rayonı @;@@;@@;@@;@
65@;@1 718@;@"0"@;@Samarqand viloyati@;@1 718 235@;@"14:07:00"@;@Nurobod tumani@;@4 848,25537@;@Самарқанд вилояти@;@Самаркандская область@;@Samarqand wálayatı @;@Нуробод тумани@;@Нурабадский район@;@Nurobod rayonı @;@@;@@;@@;@
