"tnved_code"@;@"tnved_2"@;@"tnved_2_name"@;@"tnved_10"@;@"tnved_10_name"@;@"tnved_4"@;@"tnved_4_name"@;@"tnved_6"@;@"tnved_6_name"
"0101101000"@;@"01"@;@Живые животные@;@"0101101000"@;@Лошади, ослы, мулы и лошаки живые: чистопородные племенные животные: лошади@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010110"@;@Лошади, ослы, мулы и лошаки живые: чистопородные племенные животные
"0101109000"@;@"01"@;@Живые животные@;@"0101109000"@;@Лошади, ослы, мулы и лошаки живые: чистопородные племенные животные: прочие@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010110"@;@Лошади, ослы, мулы и лошаки живые: чистопородные племенные животные
"0101210000"@;@"01"@;@Живые животные@;@"0101210000"@;@Лошади, ослы, мулы и лошаки живые:лошади: чистопородные племенные животные@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010121"@;@Чистопородные племенные лошади
"0101291000"@;@"01"@;@Живые животные@;@"0101291000"@;@Лошади, ослы, мулы и лошаки живые:лошади: прочие: убойные@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010129"@;@Лошади прочие
"0101299000"@;@"01"@;@Живые животные@;@"0101299000"@;@Лошади, ослы, мулы и лошаки живые:лошади: прочие: прочие@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010129"@;@Лошади прочие
"0101300000"@;@"01"@;@Живые животные@;@"0101300000"@;@Лошади, ослы, мулы и лошаки живые:ослы@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010130"@;@Ослы
"0101900000"@;@"01"@;@Живые животные@;@"0101900000"@;@Лошади, ослы, мулы и лошаки живые:прочие@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010190"@;@Мулы и лошаки
"0101901100"@;@"01"@;@Живые животные@;@"0101901100"@;@Лошади, ослы, мулы и лошаки живые: прочие: лошади: убойные@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010190"@;@Мулы и лошаки
"0101901900"@;@"01"@;@Живые животные@;@"0101901900"@;@Лошади, ослы, мулы и лошаки живые: прочие: лошади: прочие@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010190"@;@Мулы и лошаки
"0101903000"@;@"01"@;@Живые животные@;@"0101903000"@;@Лошади, ослы, мулы и лошаки живые: прочие: ослы@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010190"@;@Мулы и лошаки
"0101909000"@;@"01"@;@Живые животные@;@"0101909000"@;@Лошади, ослы, мулы и лошаки живые: прочие: мулы и лошаки@;@"0101"@;@Лошади, ослы, мулы и лошаки живые@;@"010190"@;@Мулы и лошаки
"0102101000"@;@"01"@;@Живые животные@;@"0102101000"@;@Крупный рогатый скот живой: чистопородные племенные животные: нетели (самки крупного рогатого скота до первого отела)@;@"0102"@;@Крупный рогатый скот живой@;@"010210"@;@Чистопородный племенной домашний крупный рогатый скот племенной
"0102103000"@;@"01"@;@Живые животные@;@"0102103000"@;@Крупный рогатый скот живой: чистопородные племенные животные: коровы@;@"0102"@;@Крупный рогатый скот живой@;@"010210"@;@Чистопородный племенной домашний крупный рогатый скот племенной
"0102109000"@;@"01"@;@Живые животные@;@"0102109000"@;@Крупный рогатый скот живой: чистопородные племенные животные: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010210"@;@Чистопородный племенной домашний крупный рогатый скот племенной
"0102211000"@;@"01"@;@Живые животные@;@"0102211000"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: чистопородные племенные животные: нетели (самки крупного рогатого скота до первого отела)@;@"0102"@;@Крупный рогатый скот живой@;@"010221"@;@Чистопородный племенной домашний крупный рогатый скот племенной
"0102213000"@;@"01"@;@Живые животные@;@"0102213000"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: чистопородные племенные животные: коровы@;@"0102"@;@Крупный рогатый скот живой@;@"010221"@;@Чистопородный племенной домашний крупный рогатый скот племенной
"0102219000"@;@"01"@;@Живые животные@;@"0102219000"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: чистопородные племенные животные: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010221"@;@Чистопородный племенной домашний крупный рогатый скот племенной
"0102290500"@;@"01"@;@Живые животные@;@"0102290500"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: подрода Bibos или подрода Poephagus@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102291000"@;@"01"@;@Живые животные@;@"0102291000"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой не более 80кг@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102292100"@;@"01"@;@Живые животные@;@"0102292100"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 80кг, но не более 160кг: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102292900"@;@"01"@;@Живые животные@;@"0102292900"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 80кг, но не более 160кг: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0908300000"@;@"09"@;@Кофе, чай, мате, или парагвайский чай, и пряности@;@"0908300000"@;@Мускатный орех, мацис и кардамон: кардамон@;@"0908"@;@Мускатный орех, мацис и кардамон@;@"090830"@;@Кардамон
"0102294100"@;@"01"@;@Живые животные@;@"0102294100"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 160 кг, но не более 300 кг: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102294900"@;@"01"@;@Живые животные@;@"0102294900"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 160 кг, но не более 300 кг: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102295100"@;@"01"@;@Живые животные@;@"0102295100"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 300кг: нетели (самки крупного рогатого скота до первого отела): убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102295900"@;@"01"@;@Живые животные@;@"0102295900"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 300кг: нетели (самки крупного рогатого скота до первого отела): прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102296100"@;@"01"@;@Живые животные@;@"0102296100"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 300кг: коровы: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102296900"@;@"01"@;@Живые животные@;@"0102296900"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 300кг: коровы: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102297100"@;@"01"@;@Живые животные@;@"0102297100"@;@Прочий домашний крупный рогатый скот массой более 300 кг, убойный@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102297900"@;@"01"@;@Живые животные@;@"0102297900"@;@Прочий домашний крупный рогатый скот массой более 300 кг, прочий (неубойный)@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102299100"@;@"01"@;@Живые животные@;@"0102299100"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 300кг: прочие: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102299900"@;@"01"@;@Живые животные@;@"0102299900"@;@Крупный рогатый скот живой:домашний крупный рогатый скот: прочие: прочие: массой более 300кг: прочие: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010229"@;@Домашний крупный рогатый скот прочий
"0102310000"@;@"01"@;@Живые животные@;@"0102310000"@;@Крупный рогатый скот живой:буйволы: чистопородные племенные животные@;@"0102"@;@Крупный рогатый скот живой@;@"010231"@;@Буйволы чистопородные племенные
"0102391000"@;@"01"@;@Живые животные@;@"0102391000"@;@Крупный рогатый скот живой:буйволы: прочие: домашние виды@;@"0102"@;@Крупный рогатый скот живой@;@"010239"@;@Буйволы прочие
"0102399000"@;@"01"@;@Живые животные@;@"0102399000"@;@Крупный рогатый скот живой:буйволы: прочие: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010239"@;@Буйволы прочие
"0102900500"@;@"01"@;@Живые животные@;@"0102900500"@;@Крупный рогатый скот живой: прочие: домашние виды: массой не более 80кг@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102902000"@;@"01"@;@Живые животные@;@"0102902000"@;@Крупный рогатый скот живой:прочие: чистопородные племенные животные@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102902100"@;@"01"@;@Живые животные@;@"0102902100"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 80кг, но не более 160кг: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102902900"@;@"01"@;@Живые животные@;@"0102902900"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 80кг, но не более 160кг: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102904100"@;@"01"@;@Живые животные@;@"0102904100"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 160кг, но не более 300кг: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102904900"@;@"01"@;@Живые животные@;@"0102904900"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 160кг, но не более 300кг: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102905100"@;@"01"@;@Живые животные@;@"0102905100"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 300кг: нетели (самки крупного рогатого скота до первого отела): убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"1006109400"@;@"10"@;@Злаки@;@"1006109400"@;@Рис:нешелушеный рис (рис-сырец): прочий: пропаренный: среднезерный@;@"1006"@;@Рис@;@"100610"@;@Нешелушеный рис (рис-сырец)
"0102905900"@;@"01"@;@Живые животные@;@"0102905900"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 300кг: нетели (самки крупного рогатого скота до первого отела): прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102906100"@;@"01"@;@Живые животные@;@"0102906100"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 300кг: коровы: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102906900"@;@"01"@;@Живые животные@;@"0102906900"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 300кг: коровы: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102907100"@;@"01"@;@Живые животные@;@"0102907100"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 300кг: прочие: убойные@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
"0102907900"@;@"01"@;@Живые животные@;@"0102907900"@;@Крупный рогатый скот живой: прочие: домашние виды: массой более 300кг: прочие: прочие@;@"0102"@;@Крупный рогатый скот живой@;@"010290"@;@Крупный рогатый скот живой прочий
